Name	2: Id:1 Vel_NC (kp:586 Tn:15)_1
Record-Number	2
Axis-ID	1
Min Frequency [Hz]	10
Max Frequency [Hz]	247.5
Frequency Steps	50
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	15
Proportional Gain	586
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
9.765625	-64.199945201357437	-89.650477937345343	-7.22841549008211	-92.600650205655739	-7.8347124696180011	-68.688368225619939
10.7421875	-65.030382306985487	-86.719289081215493	-8.0496272839024066	-89.342455783329186	-8.7157705577271756	-67.836871580052744
11.71875	-65.724415829606571	-87.439198620671775	-8.7540705784559165	-90.504860219150558	-9.2725191786874852	-70.393821262422861
12.6953125	-66.49568140030955	-88.896629124996451	-9.574547295059995	-92.481789242200932	-9.9149369437073549	-73.876890186549531
13.671875	-66.9386375248481	-89.077953598408854	-10.001622055234495	-93.060836213066779	-10.280001510995069	-75.256974882198421
14.6484375	-67.367006609402836	-89.41484142904244	-10.424322375385184	-93.820067800486527	-10.638549146877903	-76.772757768936415
15.625	-67.948460202924082	-90.64640719763004	-11.05345386653838	-95.526985568783942	-11.158590277023443	-79.538003505267355
16.6015625	-68.431784266001344	-91.615035253187941	-11.57199061186429	-96.945545199718524	-11.597157564280433	-81.805333303876878
17.578125	-68.858182053044359	-91.955285331382925	-12.021182525085884	-97.630009969338815	-12.004856248007894	-83.221988004113072
18.5546875	-69.304676168990127	-92.146315247262478	-12.49820032013141	-98.094829376496833	-12.452183092918833	-84.44008710711401
20.5078125	-70.0748433374309	-93.251181167750829	-13.339744692902041	-99.884399688286791	-13.218353038253277	-87.464545823232086
21.484375	-70.4222418667711	-93.777150847867517	-13.724505544397093	-100.73682610707269	-13.572835396222171	-88.853763442627752
23.4375	-71.102225658952	-94.3569690034203	-14.480156216677562	-101.82544880034223	-14.295006601425527	-90.944431944059446
24.4140625	-71.41242879467444	-94.823409576327876	-14.833449760454231	-102.5602914903739	-14.629016990801922	-92.123764860974845
26.3671875	-71.984536488947057	-95.435148121813825	-15.48730893031928	-103.63372938612081	-15.260002994308746	-93.9784052236119
28.3203125	-72.515371767588633	-95.788661166493625	-16.098713625228253	-104.36205640387475	-15.861373318497467	-95.386896410875536
29.296875	-72.774398853103264	-96.011524460422919	-16.4015442777036	-104.74975168461805	-16.1597411243206	-96.095373637169317
32.2265625	-73.4169685803626	-97.023070704426644	-17.180983772028455	-106.30507126806768	-16.918999318586248	-98.439878022121945
34.1796875	-73.806483177977086	-97.869050613321761	-17.670580562606418	-107.45783799751324	-17.395578340790212	-100.06057550869184
36.1328125	-74.159860926089749	-98.497436028089126	-18.11972916152077	-108.32918866711044	-17.838615128863275	-101.33627328142742
38.0859375	-74.473860139741163	-98.9729249901395	-18.525937010014733	-109.00333422374936	-18.242736245681336	-102.35639386009822
41.015625	-74.856601493123776	-100.171140685517	-19.060892006656388	-110.48159126848452	-18.766416528785189	-104.28305612001412
43.9453125	-75.2413797303472	-101.36216361306917	-19.600079335226354	-111.76842651080153	-19.300284937154618	-105.99125235808351
46.875	-75.5299786351055	-102.9749212540485	-20.052312862666906	-113.4237340125752	-19.741119530205665	-107.99917614860925
49.8046875	-75.785165272924786	-104.42388816880425	-20.463124634115033	-114.78447411346684	-20.1456211414459	-109.66230419001107
52.734375	-75.981792523616775	-106.29142934052182	-20.821575339694668	-116.46045680997983	-20.493324942827641	-111.60850959464433
56.640625	-76.220439420384508	-108.85012995889082	-21.263629201726157	-118.54516608894886	-20.924317581935604	-114.01544246986076
60.546875	-76.388137451782939	-112.04525005456117	-21.630651115535585	-121.0480085949019	-21.275012694441727	-116.80556918287087
64.453125	-76.526050650491257	-115.44674054580551	-21.944507279170232	-123.54091564166305	-21.573169250936179	-119.55327522207131
68.359375	-76.694518408043976	-119.4528515809167	-22.260287113550675	-126.37308392351932	-21.87217229035862	-122.65166690905954
73.2421875	-76.881540937256773	-124.72240322959209	-22.577111331350693	-129.99208116781324	-22.167466626793839	-126.56982992371411
78.125	-77.056906773379836	-130.56326073779692	-22.817899168100539	-134.03886205078342	-22.383022154230069	-130.90675004783631
83.0078125	-77.291146406351	-136.53557401423873	-23.037915957326497	-138.2339022304435	-22.57947797876308	-135.39689828072039
88.8671875	-77.707011392317952	-143.83178185041947	-23.33487597063915	-143.64389360495937	-22.852737344568091	-141.19749364061948
94.7265625	-78.191070468293148	-150.99687026435026	-23.623817720083608	-149.44469162888558	-23.121927551293005	-147.41094307298178
100.5859375	-78.67012423776994	-157.83484766037284	-23.875263371870346	-155.55878613155039	-23.357203266230826	-153.94788994207983
107.421875	-79.24381059322107	-164.57376806910744	-24.196696591084486	-162.2879354236521	-23.672439093358051	-161.14574978603602
114.2578125	-79.70941708361201	-171.28836854741218	-24.468793357298292	-169.62567984095008	-23.942969096096306	-168.97037253434058
122.0703125	-80.255632799058759	-178.54555299630209	-24.904583045569836	-178.07257084689977	-24.396463836357668	-177.95640629680591
129.8828125	-80.627549442665384	-185.48365764699963	-25.294844164700095	-186.23162534969555	-24.812504359962965	-186.58899886606034
138.671875	-80.845446600571535	-195.17987465331234	-25.666617897185333	-196.83284208464582	-25.223570458585385	-197.74219326957541
148.4375	-81.261996934834229	-206.86858778374119	-26.322561508255724	-208.37983901528938	-25.947943334253129	-209.75308471976231
158.203125	-81.866398870388451	-220.3009065604268	-27.095685340835708	-220.42672084960702	-26.802363712911827	-222.12481300654497
167.96875	-82.6738332815151	-234.841377164322	-27.890083990240193	-233.01128399273469	-27.681516986727324	-234.90161836169409
179.6875	-84.1836834052925	-251.24123709219563	-29.143566766574963	-247.84441889914996	-29.033145373100851	-249.72040881286975
191.40625	-85.959836446601443	-267.2013925421536	-30.591105945646611	-263.83603374849065	-30.567278657720806	-265.52376553144569
204.1015625	-88.399938845759408	-281.28434214531291	-32.840091339901342	-279.33283864081722	-32.874334482002226	-280.61710498659352
217.7734375	-91.764849345735911	-291.76218184774262	-36.231991699674957	-291.2289575548254	-36.281278234563217	-292.04846914513666
232.421875	-95.951439041599912	-295.05933517840378	-40.523256771232774	-295.05772450904539	-40.558138039749238	-295.54445927417544
247.0703125	-99.277825896279268	-277.18750044392232	-43.911163091997665	-277.1903540648841	-43.918263912319219	-277.55241647882184

Name	3: Id:1 Vel_NC (kp:586 Tn:15)_2
Record-Number	3
Axis-ID	1
Min Frequency [Hz]	10
Max Frequency [Hz]	247.5
Frequency Steps	50
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	15
Proportional Gain	586
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
9.765625	-65.195292691797221	-83.784163630703119	-8.37494647466605	-85.312405298144938	-9.194536958607193	-65.082104413360284
10.7421875	-65.296527203482341	-87.673887724902158	-8.3768882911319444	-90.391621807517964	-8.94633366346486	-69.475302278776738
11.71875	-66.072873332266013	-87.88764519032523	-9.1754862601970029	-90.898172454790753	-9.6287385955868086	-71.629592206647459
12.6953125	-66.755645797744364	-88.925942996480728	-9.8845999256047747	-92.392548252691569	-10.20246987725386	-74.413308868886162
13.671875	-67.173437845204177	-89.550861801846111	-10.287589503213937	-93.498345819031982	-10.525285938155427	-76.2138956666495
14.6484375	-67.584374009074651	-89.8856070910337	-10.690170043178915	-94.251837091923264	-10.868838090113048	-77.672721775902346
15.625	-68.175396748277223	-91.086526352026425	-11.329246190633862	-95.899610824448175	-11.406086714575913	-80.3816542457993
16.6015625	-68.698172095528676	-91.789392119801775	-11.889246104460849	-96.962052292417837	-11.90247165455852	-82.357161593550856
17.578125	-69.0789570721515	-91.8855439626831	-12.279916793221318	-97.381268790994724	-12.265400027859108	-83.399646212705946
18.5546875	-69.491070477081692	-92.225096092403788	-12.718268457615974	-98.039507933877587	-12.6693252725757	-84.726322410126656
20.5078125	-70.244333317022651	-93.244468863770408	-13.536606452654127	-99.727885322329172	-13.418497797522926	-87.58948582014358
21.484375	-70.633658582726184	-93.536541876392747	-13.96398512916412	-100.26575846969388	-13.826012312148722	-88.7109892577866
23.4375	-71.291033793302248	-94.1929546161242	-14.692775585998245	-101.45382450653641	-14.5189815994377	-90.83871058282331
24.4140625	-71.572607597058266	-94.344501222648219	-15.005014166857533	-101.85365653010263	-14.82126259961265	-91.620501176683277
26.3671875	-72.162563660757229	-95.075332038037729	-15.679394523048805	-103.04035795478775	-15.469557196295543	-93.59393715126383
28.3203125	-72.67331862971885	-95.161469020120151	-16.259429039466013	-103.4888934594111	-16.045344877452525	-94.66981215806976
29.296875	-72.909632570622179	-95.6338887395149	-16.542125497973107	-104.18002083631085	-16.315791598730915	-95.6588980808866
32.2265625	-73.564882936084871	-96.534907589399154	-17.32950642242038	-105.60018103464643	-17.085433468715657	-97.857833220742535
34.1796875	-73.935690611171552	-96.919253680782461	-17.784195350357578	-106.27901849316714	-17.535302832296541	-98.954643045589862
36.1328125	-74.280785282824141	-97.600635614837913	-18.223944170891624	-107.22646320567237	-17.96622487921589	-100.29316932207144
38.0859375	-74.602848009773524	-97.977579432856743	-18.634263312349965	-107.79585382186445	-18.375519884451581	-101.20394455107265
41.015625	-74.988687374711034	-99.182489122509566	-19.169845517016956	-109.29452979672449	-18.898322465249397	-103.14366843074848
43.9453125	-75.365822171090528	-100.18586166372438	-19.693772037816657	-110.41868500484442	-19.417888798042245	-104.66726126398306
46.875	-75.649859234997351	-101.63137225837767	-20.134893226367332	-111.93641520679915	-19.848255178406035	-106.51993425979674
49.8046875	-75.886400076423982	-103.08983756943118	-20.526434323484267	-113.35538591388236	-20.230993217328521	-108.2264661313135
52.734375	-76.0703282603449	-104.46033609349524	-20.8591022510825	-114.59266757109592	-20.5570373539176	-109.70050689851377
56.640625	-76.2838789185468	-107.27321806019125	-21.284945262324115	-116.98997149935676	-20.965820092871112	-112.41685303708827
60.546875	-76.430815932753148	-109.99780801221186	-21.624398872577068	-119.11448796899734	-21.291290082443549	-114.79625121467232
64.453125	-76.561163347978109	-113.46560343665055	-21.937278071488681	-121.7131476468316	-21.585932959439621	-117.6490717654664
68.359375	-76.694456929762538	-117.32002846944071	-22.224605119152628	-124.46612321277038	-21.85483642235917	-120.64780246279855
73.2421875	-76.869046011679117	-122.63500126460825	-22.53972306575416	-128.15565310945573	-22.146038669182285	-124.63436220961269
78.125	-77.059845513748229	-128.20315546011747	-22.800643405564447	-131.96483358138263	-22.383281382456708	-128.72514456535282
83.0078125	-77.279698589003374	-134.12014556496132	-23.01749369513082	-136.10925183659279	-22.575135594759807	-133.15484416980766
